id,vendor,series,name,slug,description,specs,warranty,features,source_url,source_updated_at,active,created_at,updated_at,category,sku,coverage_sqft_per_box
39,Harbinger,Contract,Bonsai Maple,harbinger-contract-bonsai-maple,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/bonsai-maple,Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),Contract,HVP 22077T,48.00
40,Harbinger,Contract,Tumbleweed,harbinger-contract-tumbleweed,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/tumbleweed,Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),Contract,HVP 22088T,48.00
41,Harbinger,Contract,Sienna,harbinger-contract-sienna,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/sienna,Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),Contract,HVP 22099T,48.00
42,Harbinger,Contract,Melbourne,harbinger-contract-melbourne,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/melbourne,Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),Contract,HVP 33011T,48.00
43,Harbinger,Contract,Canberra,harbinger-contract-canberra,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/canberra,Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),Contract,HVP 33022T,48.00
44,Harbinger,Contract,Winton,harbinger-contract-winton,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/winton,Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),Contract,HVP 33044T,48.00
45,Harbinger,Contract,Perth,harbinger-contract-perth,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/perth,Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),Contract,HVP 33033T,48.00
46,Harbinger,Craftsman,Marla,harbinger-craftsman-marla,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/marla,Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),Craftsman,HVP 33066T,48.00
47,Harbinger,Craftsman,Cairns,harbinger-craftsman-cairns,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/cairns,Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),Craftsman,HVP 33077T,48.00
48,Harbinger,Craftsman,Brisbane,harbinger-craftsman-brisbane,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/brisbane,Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time),Craftsman,HVP 33088T,48.00
49,Harbinger,Essentials,Tennessee Hickory,harbinger-essentials-tennessee-hickory,Heavy commercial glue down,[object Object],,,https://www.harbingerfloors.com/product-page/tennessee-hickory,Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time),Essentials,HES 88102T,32.00
50,Harbinger,Essentials,Carolina Spalted Cherry,harbinger-essentials-carolina-spalted-cherry,Heavy commercial glue down,[object Object],,,https://www.harbingerfloors.com/product-page/carolina-spalted-cherry,Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time),Essentials,HES 88088T,32.00
52,Harbinger,Essentials,Laurel Oak,harbinger-essentials-laurel-oak,Heavy commercial glue down,[object Object],,,https://www.harbingerfloors.com/product-page/laurel-oak,Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),Essentials,HES 23088R,32.00
53,Harbinger,Essentials,Copenhagen,harbinger-essentials-copenhagen,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/copenhagen,Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),Essentials,TQZ 2301R,33.93
54,Harbinger,Essentials,Coastal Fog,harbinger-essentials-coastal-fog,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/coastal-fog,Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),Essentials,TQZ 2303T,35.56
55,Harbinger,Essentials,Bianco,harbinger-essentials-bianco,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/bianco,Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),Essentials,TQZ 2402T,35.56
56,Harbinger,Signature Acoustic Click,Nottingham,harbinger-signature-acoustic-click-nottingham,Heavy commercial floating floor,[object Object],,,https://www.harbingerfloors.com/product-page/nottingham,Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,WPC 33099R,
57,Harbinger,Signature Acoustic Click,Sheffield,harbinger-signature-acoustic-click-sheffield,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/sheffield,Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55121R,18.91
58,Harbinger,Signature Acoustic Click,Knoxville,harbinger-signature-acoustic-click-knoxville,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/knoxville-1,Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55107R,26.95
59,Harbinger,Signature Acoustic Click,Birmingham,harbinger-signature-acoustic-click-birmingham,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/birmingham,Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55116R,19.32
60,Harbinger,Signature Acoustic Click,Poole,harbinger-signature-acoustic-click-poole,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/poole,Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55117R,19.32
61,Harbinger,Signature Acoustic Click,Derby,harbinger-signature-acoustic-click-derby,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/derby,Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55118R,19.32
62,Harbinger,Signature Acoustic Click,York,harbinger-signature-acoustic-click-york,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/york,Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55122R,18.91
63,Harbinger,Signature Acoustic Click,Chester,harbinger-signature-acoustic-click-chester,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/chester,Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55119R,18.91
64,Harbinger,Signature Acoustic Click,Durham,harbinger-signature-acoustic-click-durham,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/durham,Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55120R,18.91
65,Harbinger,Signature Acoustic Click,Plymouth,harbinger-signature-acoustic-click-plymouth,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/plymouth,Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55114R,26.95
66,Harbinger,Signature Acoustic Click,Sussex,harbinger-signature-acoustic-click-sussex,Heavy commercial floating floor,[object Object],,,https://www.harbingerfloors.com/product-page/sussex,Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:18 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,WPC 33088R,
67,Harbinger,Signature Acoustic Click,Cardiff,harbinger-signature-acoustic-click-cardiff,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/cardiff,Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:18 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55110R,26.95
70,Harbinger,The Quiet Zone,Cumulus,harbinger-the-quiet-zone-cumulus,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/cumulus,Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:18 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time),The Quiet Zone,TQZ 3309R,24.69
71,Harbinger,Signature Acoustic Click,Cornwall,harbinger-signature-acoustic-click-cornwall,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/cornwall-1,Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:19 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55106R,26.95
72,Harbinger,Harbinger Acoustic Click,Maduro,harbinger-harbinger-acoustic-click-maduro,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/maduro,Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:19 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time),Harbinger Acoustic Click,SPC 11101R,
73,Harbinger,Signature Acoustic Click,Dublin,harbinger-signature-acoustic-click-dublin,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/dublin-1,Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:19 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55101R,22.25
74,Harbinger,Signature Acoustic Click,Bantame,harbinger-signature-acoustic-click-bantame,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/bantame,Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:19 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55010S,21.29
75,Harbinger,Craftsman,Gobi,harbinger-craftsman-gobi,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/gobi,Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time),Craftsman,HCP 44044R,29.62
76,Harbinger,Signature Acoustic Click,Jakarta,harbinger-signature-acoustic-click-jakarta,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/jakarta,Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,HCP 66022R,37.55
77,Harbinger,Signature Acoustic Click,Exeter,harbinger-signature-acoustic-click-exeter,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/exeter,Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55115R,19.32
78,Harbinger,Signature Acoustic Click,Paris,harbinger-signature-acoustic-click-paris,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/paris,Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,HCP 66055R,39.03
79,Harbinger,Signature Acoustic Click,Munich,harbinger-signature-acoustic-click-munich,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/munich,Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,TQZ 2405R,33.93
80,Harbinger,Signature Acoustic Click,"Cambridge 9""",harbinger-signature-acoustic-click-cambridge-9,Heavy commercial floating floor,[object Object],,,https://www.harbingerfloors.com/product-page/cambridge-9,Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:21 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,WPC 77066R,
81,Harbinger,Signature Acoustic Click,Marengo Grey,harbinger-signature-acoustic-click-marengo-grey,Floating Floor,[object Object],,,https://www.harbingerfloors.com/product-page/marengo-grey,Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:21 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time),Signature Acoustic Click,SAC 55004S,21.29